ECR,Player,Tipoff (ET),Opponent,Today,Yesterday,Difference,Name,Team,Pos,Key,Price,run_ts
269,Kendrick Nunn (WAS - SG/PG),8:00PM,@HOU,"$4,200","$4,200",0,Kendrick Nunn,WAS,SG/PG,Kendrick Nunn-WAS,4200,2023-01-25 16:29:45.372136
-,KZ Okpala (SAC - SF),10:00PM,TOR,"$3,500",-,-,KZ Okpala,SAC,SF,KZ Okpala-SAC,3500,2023-01-25 16:29:45.372136
104,Zion Williamson (NOR - PF),8:00PM,MIN,"$9,700","$9,700",0,Zion Williamson,NOP,PF,Zion Williamson-NOP,9700,2023-01-25 16:29:45.372136
192,Bol Bol (ORL - C),7:00PM,IND,"$4,600",-,-,Bol Bol,ORL,C,Bol Bol-ORL,4600,2023-01-25 16:29:45.372136
262,Jaylen Nowell (MIN - PG),8:00PM,@NOR,"$4,500",-,-,Jaylen Nowell,MIN,PG,Jaylen Nowell-MIN,4500,2023-01-25 16:29:45.372136
248,Matisse Thybulle (PHI - SF),7:30PM,BKN,"$3,700",-,-,Matisse Thybulle,PHI,SF,Matisse Thybulle-PHI,3700,2023-01-25 16:29:45.372136
-,Romeo Langford (SAS - SG),10:30PM,@LAL,"$4,400",-,-,Romeo Langford,SAS,SG,Romeo Langford-SAS,4400,2023-01-25 16:29:45.372136
89,Jordan Poole (GSW - PG/SG),10:00PM,MEM,"$7,800",-,-,Jordan Poole,GSW,PG/SG,Jordan Poole-GSW,7800,2023-01-25 16:29:45.372136
168,Daniel Gafford (WAS - C),8:00PM,@HOU,"$5,800","$5,800",0,Daniel Gafford,WAS,C,Daniel Gafford-WAS,5800,2023-01-25 16:29:45.372136
-,Admiral Schofield (ORL - SF),7:00PM,IND,"$3,700",-,-,Admiral Schofield,ORL,SF,Admiral Schofield-ORL,3700,2023-01-25 16:29:45.372136
-,Bruno Fernando (HOU - PF/C),8:00PM,WAS,"$3,600",-,-,Bruno Fernando,HOU,PF/C,Bruno Fernando-HOU,3600,2023-01-25 16:29:45.372136
-,Ty Jerome (GSW - PG),10:00PM,MEM,"$4,000",-,-,Ty Jerome,GSW,PG,Ty Jerome-GSW,4000,2023-01-25 16:29:45.372136
226,Chuma Okeke (ORL - PF),7:00PM,IND,"$3,800",-,-,Chuma Okeke,ORL,PF,Chuma Okeke-ORL,3800,2023-01-25 16:29:45.372136
239,Talen Horton-Tucker (UTH - SG/SF),10:00PM,@POR,"$4,200",-,-,Talen Horton-Tucker,UTA,SG/SF,Talen Horton-Tucker-UTA,4200,2023-01-25 16:29:45.372136
172,De'Andre Hunter (ATL - SF/PF),8:00PM,@OKC,"$5,500",-,-,De'Andre Hunter,ATL,SF/PF,De'Andre Hunter-ATL,5500,2023-01-25 16:29:45.372136
293,Jaxson Hayes (NOR - PF/C),8:00PM,MIN,"$4,200","$4,200",0,Jaxson Hayes,NOP,PF/C,Jaxson Hayes-NOP,4200,2023-01-25 16:29:45.372136
271,Nassir Little (POR - SF),10:00PM,UTH,"$4,000",-,-,Nassir Little,POR,SF,Nassir Little-POR,4000,2023-01-25 16:29:45.372136
29,Ja Morant (MEM - PG),10:00PM,@GSW,"$9,900",-,-,Ja Morant,MEM,PG,Ja Morant-MEM,9900,2023-01-25 16:29:45.372136
95,Kevin Porter Jr. (HOU - PG),8:00PM,WAS,"$7,800",-,-,Kevin Porter,HOU,PG,Kevin Porter-HOU,7800,2023-01-25 16:29:45.372136
285,Isaiah Roby (SAS - PF/C),10:30PM,@LAL,"$3,600",-,-,Isaiah Roby,SAS,PF/C,Isaiah Roby-SAS,3600,2023-01-25 16:29:45.372136
103,Keldon Johnson (SAS - PF/SF),10:30PM,@LAL,"$7,100",-,-,Keldon Johnson,SAS,PF/SF,Keldon Johnson-SAS,7100,2023-01-25 16:29:45.372136
230,Rui Hachimura (LAL - SF/PF),10:30PM,SAS,"$5,000","$5,000",0,Rui Hachimura,LAL,SF/PF,Rui Hachimura-LAL,5000,2023-01-25 16:29:45.372136
115,Brandon Clarke (MEM - PF/C),10:00PM,@GSW,"$4,900",-,-,Brandon Clarke,MEM,PF/C,Brandon Clarke-MEM,4900,2023-01-25 16:29:45.372136
80,Nic Claxton (BKN - C),7:30PM,@PHI,"$8,100",-,-,Nic Claxton,BKN,C,Nic Claxton-BKN,8100,2023-01-25 16:29:45.372136
249,Nickeil Alexander-Walker (UTH - SG/SF),10:00PM,@POR,"$4,400",-,-,Nickeil Alexander-Walker,UTA,SG/SF,Nickeil Alexander-Walker-UTA,4400,2023-01-25 16:29:45.372136
304,Goga Bitadze (IND - C),7:00PM,@ORL,"$3,800","$3,800",0,Goga Bitadze,IND,C,Goga Bitadze-IND,3800,2023-01-25 16:29:45.372136
225,Darius Bazley (OKC - PF/SF),8:00PM,ATL,"$4,000",-,-,Darius Bazley,OKC,PF/SF,Darius Bazley-OKC,4000,2023-01-25 16:29:45.372136
-,Garrett Temple (NOR - SF),8:00PM,MIN,"$3,500","$3,500",0,Garrett Temple,NOP,SF,Garrett Temple-NOP,3500,2023-01-25 16:29:45.372136
266,Naz Reid (MIN - C),8:00PM,@NOR,"$5,300",-,-,Naz Reid,MIN,C,Naz Reid-MIN,5300,2023-01-25 16:29:45.372136
170,Luguentz Dort (OKC - SF/SG),8:00PM,ATL,"$5,700",-,-,Luguentz Dort,OKC,SF/SG,Luguentz Dort-OKC,5700,2023-01-25 16:29:45.372136
-,Thanasis Antetokounmpo (MIL - SF/PF),8:00PM,DEN,"$3,500",-,-,Thanasis Antetokounmpo,MIL,SF/PF,Thanasis Antetokounmpo-MIL,3500,2023-01-25 16:29:45.372136
201,John Konchar (MEM - SF/SG),10:00PM,@GSW,"$4,000",-,-,John Konchar,MEM,SF/SG,John Konchar-MEM,4000,2023-01-25 16:29:45.372136
-,Garrison Mathews (HOU - SF),8:00PM,WAS,"$3,700",-,-,Garrison Mathews,HOU,SF,Garrison Mathews-HOU,3700,2023-01-25 16:29:45.372136
309,Terence Davis II (SAC - SG/SF),10:00PM,TOR,"$4,200",-,-,Terence Davis II,SAC,SG/SF,Terence Davis II-SAC,4200,2023-01-25 16:29:45.372136
-,Oshae Brissett (IND - SF),7:00PM,@ORL,"$3,900","$3,900",0,Oshae Brissett,IND,SF,Oshae Brissett-IND,3900,2023-01-25 16:29:45.372136
-,Vlatko Cancar (DEN - SF),8:00PM,@MIL,"$3,800","$3,800",0,Vlatko Cancar,DEN,SF,Vlatko Cancar-DEN,3800,2023-01-25 16:29:45.372136
-,Louis King (PHI - SF/PF),7:30PM,BKN,"$3,500",-,-,Louis King,PHI,SF/PF,Louis King-PHI,3500,2023-01-25 16:29:45.372136
294,Juan Toscano-Anderson (LAL - PF),10:30PM,SAS,"$3,700","$3,700",0,Juan Toscano-Anderson,LAL,PF,Juan Toscano-Anderson-LAL,3700,2023-01-25 16:29:45.372136
194,Patrick Beverley (LAL - PG/SG),10:30PM,SAS,"$4,100","$4,100",0,Patrick Beverley,LAL,PG/SG,Patrick Beverley-LAL,4100,2023-01-25 16:29:45.372136
-,Ish Smith (DEN - PG/SG),8:00PM,@MIL,"$3,500","$3,500",0,Ish Smith,DEN,PG/SG,Ish Smith-DEN,3500,2023-01-25 16:29:45.372136
19,Kyrie Irving (BKN - PG/SG),7:30PM,@PHI,"$10,000",-,-,Kyrie Irving,BKN,PG/SG,Kyrie Irving-BKN,10000,2023-01-25 16:29:45.372136
53,Jonas Valanciunas (NOR - C),8:00PM,MIN,"$7,500","$7,500",0,Jonas Valanciunas,NOP,C,Jonas Valanciunas-NOP,7500,2023-01-25 16:29:45.372136
77,Klay Thompson (GSW - SG/SF),10:00PM,MEM,"$7,200",-,-,Klay Thompson,GSW,SG/SF,Klay Thompson-GSW,7200,2023-01-25 16:29:45.372136
-,Markieff Morris (BKN - PF/SF),7:30PM,@PHI,"$3,600",-,-,Markieff Morris,BKN,PF/SF,Markieff Morris-BKN,3600,2023-01-25 16:29:45.372136
51,Tobias Harris (PHI - SF/PF),7:30PM,BKN,"$7,300",-,-,Tobias Harris,PHI,SF/PF,Tobias Harris-PHI,7300,2023-01-25 16:29:45.372136
105,Onyeka Okongwu (ATL - C),8:00PM,@OKC,"$5,200",-,-,Onyeka Okongwu,ATL,C,Onyeka Okongwu-ATL,5200,2023-01-25 16:29:45.372136
-,Zeke Nnaji (DEN - PF/C),8:00PM,@MIL,"$4,800","$4,800",0,Zeke Nnaji,DEN,PF/C,Zeke Nnaji-DEN,4800,2023-01-25 16:29:45.372136
277,Udoka Azubuike (UTH - C),10:00PM,@POR,"$3,500",-,-,Udoka Azubuike,UTA,C,Udoka Azubuike-UTA,3500,2023-01-25 16:29:45.372136
-,Vernon Carey Jr. (WAS - PF/C),8:00PM,@HOU,"$3,500","$3,500",0,Vernon Carey,WAS,PF/C,Vernon Carey-WAS,3500,2023-01-25 16:29:45.372136
-,Jordan Nwora (MIL - PF/SF),8:00PM,DEN,"$3,900",-,-,Jordan Nwora,MIL,PF/SF,Jordan Nwora-MIL,3900,2023-01-25 16:29:45.372136
223,Precious Achiuwa (TOR - PF/C),10:00PM,@SAC,"$5,200",-,-,Precious Achiuwa,TOR,PF/C,Precious Achiuwa-TOR,5200,2023-01-25 16:29:45.372136
-,Kira Lewis Jr. (NOR - PG),8:00PM,MIN,"$3,500","$3,500",0,Kira Lewis,NOP,PG,Kira Lewis-NOP,3500,2023-01-25 16:29:45.372136
109,Jaden McDaniels (MIN - SF/PF),8:00PM,@NOR,"$5,700",-,-,Jaden McDaniels,MIN,SF/PF,Jaden McDaniels-MIN,5700,2023-01-25 16:29:45.372136
18,Anthony Edwards (MIN - SG/SF),8:00PM,@NOR,"$9,200",-,-,Anthony Edwards,MIN,SG/SF,Anthony Edwards-MIN,9200,2023-01-25 16:29:45.372136
119,Jalen Smith (IND - PF/C),7:00PM,@ORL,"$4,800","$5,100",-300,Jalen Smith,IND,PF/C,Jalen Smith-IND,4800,2023-01-25 16:29:45.372136
90,Tre Jones (SAS - PG),10:30PM,@LAL,"$6,500",-,-,Tre Jones,SAS,PG,Tre Jones-SAS,6500,2023-01-25 16:29:45.372136
127,Devin Vassell (SAS - SG),10:30PM,@LAL,"$6,500",-,-,Devin Vassell,SAS,SG,Devin Vassell-SAS,6500,2023-01-25 16:29:45.372136
149,Cole Anthony (ORL - PG/SG),7:00PM,IND,"$5,700",-,-,Cole Anthony,ORL,PG/SG,Cole Anthony-ORL,5700,2023-01-25 16:29:45.372136
312,Paul Reed (PHI - C),7:30PM,BKN,"$4,200",-,-,Paul Reed,PHI,C,Paul Reed-PHI,4200,2023-01-25 16:29:45.372136
-,Isaiah Joe (OKC - PG),8:00PM,ATL,"$4,500",-,-,Isaiah Joe,OKC,PG,Isaiah Joe-OKC,4500,2023-01-25 16:29:45.372136
66,Tyrese Maxey (PHI - PG/SG),7:30PM,BKN,"$6,300",-,-,Tyrese Maxey,PHI,PG/SG,Tyrese Maxey-PHI,6300,2023-01-25 16:29:45.372136
235,Aaron Nesmith (IND - SF/PF),7:00PM,@ORL,"$4,500","$4,500",0,Aaron Nesmith,IND,SF/PF,Aaron Nesmith-IND,4500,2023-01-25 16:29:45.372136
44,Desmond Bane (MEM - SG/SF),10:00PM,@GSW,"$7,700",-,-,Desmond Bane,MEM,SG/SF,Desmond Bane-MEM,7700,2023-01-25 16:29:45.372136
229,Xavier Tillman (MEM - PF/C),10:00PM,@GSW,"$4,600",-,-,Xavier Tillman,MEM,PF/C,Xavier Tillman-MEM,4600,2023-01-25 16:29:45.372136
8,Tyrese Haliburton (IND - PG/SG),7:00PM,@ORL,"$9,400","$9,400",0,Tyrese Haliburton,IND,PG/SG,Tyrese Haliburton-IND,9400,2023-01-25 16:29:45.372136
-,Malachi Flynn (TOR - PG/SG),10:00PM,@SAC,"$3,700",-,-,Malachi Flynn,TOR,PG/SG,Malachi Flynn-TOR,3700,2023-01-25 16:29:45.372136
204,James Wiseman (GSW - C),10:00PM,MEM,"$3,800",-,-,James Wiseman,GSW,C,James Wiseman-GSW,3800,2023-01-25 16:29:45.372136
-,Trent Forrest (ATL - SG),8:00PM,@OKC,"$3,500",-,-,Trent Forrest,ATL,SG,Trent Forrest-ATL,3500,2023-01-25 16:29:45.372136
-,Trevelin Queen (IND - PG),7:00PM,@ORL,"$3,800","$4,000",-200,Trevelin Queen,IND,PG,Trevelin Queen-IND,3800,2023-01-25 16:29:45.372136
-,Nathan Knight (MIN - PF),8:00PM,@NOR,"$3,800",-,-,Nathan Knight,MIN,PF,Nathan Knight-MIN,3800,2023-01-25 16:29:45.372136
213,Kenyon Martin Jr. (HOU - SF/PF),8:00PM,WAS,"$5,300",-,-,Kenyon Martin,HOU,SF/PF,Kenyon Martin-HOU,5300,2023-01-25 16:29:45.372136
-,Leandro Bolmaro (UTH - SF),10:00PM,@POR,"$3,500",-,-,Leandro Bolmaro,UTA,SF,Leandro Bolmaro-UTA,3500,2023-01-25 16:29:45.372136
211,Aleksej Pokusevski (OKC - PF/C),8:00PM,ATL,"$4,300",-,-,Aleksej Pokusevski,OKC,PF/C,Aleksej Pokusevski-OKC,4300,2023-01-25 16:29:45.372136
186,Deni Avdija (WAS - SF/PF),8:00PM,@HOU,"$5,000","$5,000",0,Deni Avdija,WAS,SF/PF,Deni Avdija-WAS,5000,2023-01-25 16:29:45.372136
-,Vit Krejci (ATL - PG),8:00PM,@OKC,"$3,500",-,-,Vit Krejci,ATL,PG,Vit Krejci-ATL,3500,2023-01-25 16:29:45.372136
-,R.J. Hampton Jr. (ORL - PG/SG),7:00PM,IND,"$3,500",-,-,R.J. Hampton,ORL,PG/SG,R.J. Hampton-ORL,3500,2023-01-25 16:29:45.372136
-,Anthony Gill (WAS - PF),8:00PM,@HOU,"$3,900","$3,900",0,Anthony Gill,WAS,PF,Anthony Gill-WAS,3900,2023-01-25 16:29:45.372136
169,Jae'Sean Tate (HOU - SF/PF),8:00PM,WAS,"$4,500",-,-,Jae'Sean Tate,HOU,SF/PF,Jae'Sean Tate-HOU,4500,2023-01-25 16:29:45.372136
306,Anthony Lamb (GSW - SF),10:00PM,MEM,"$4,500",-,-,Anthony Lamb,GSW,SF,Anthony Lamb-GSW,4500,2023-01-25 16:29:45.372136
-,Naji Marshall (NOR - SF),8:00PM,MIN,"$6,000","$6,000",0,Naji Marshall,NOP,SF,Naji Marshall-NOP,6000,2023-01-25 16:29:45.372136
-,Kevon Harris (ORL - SG),7:00PM,IND,"$3,600",-,-,Kevon Harris,ORL,SG,Kevon Harris-ORL,3600,2023-01-25 16:29:45.372136
251,JaMychal Green (GSW - PF/C),10:00PM,MEM,"$3,600",-,-,JaMychal Green,GSW,PF/C,JaMychal Green-GSW,3600,2023-01-25 16:29:45.372136
181,Seth Curry (BKN - PG/SG),7:30PM,@PHI,"$4,800",-,-,Seth Curry,BKN,PG/SG,Seth Curry-BKN,4800,2023-01-25 16:29:45.372136
-,Austin Rivers (MIN - SG/PG),8:00PM,@NOR,"$3,900",-,-,Austin Rivers,MIN,SG/PG,Austin Rivers-MIN,3900,2023-01-25 16:29:45.372136
33,Bradley Beal (WAS - SG),8:00PM,@HOU,"$8,200","$8,000",+200,Bradley Beal,WAS,SG,Bradley Beal-WAS,8200,2023-01-25 16:29:45.372136
245,Otto Porter Jr. (TOR - SF/PF),10:00PM,@SAC,"$3,500",-,-,Otto Porter,TOR,SF/PF,Otto Porter-TOR,3500,2023-01-25 16:29:45.372136
148,Kentavious Caldwell-Pope (DEN - SG/SF),8:00PM,@MIL,"$5,100","$5,100",0,Kentavious Caldwell-Pope,DEN,SG/SF,Kentavious Caldwell-Pope-DEN,5100,2023-01-25 16:29:45.372136
68,Anthony Davis (LAL - PF/C),10:30PM,SAS,"$10,700","$10,700",0,Anthony Davis,LAL,PF/C,Anthony Davis-LAL,10700,2023-01-25 16:29:45.372136
-,Gorgui Dieng (SAS - C),10:30PM,@LAL,"$3,900",-,-,Gorgui Dieng,SAS,C,Gorgui Dieng-SAS,3900,2023-01-25 16:29:45.372136
290,Moses Moody (GSW - SG),10:00PM,MEM,"$3,700",-,-,Moses Moody,GSW,SG,Moses Moody-GSW,3700,2023-01-25 16:29:45.372136
-,Josh Christopher (HOU - SG),8:00PM,WAS,"$3,500",-,-,Josh Christopher,HOU,SG,Josh Christopher-HOU,3500,2023-01-25 16:29:45.372136
-,Keon Johnson (POR - SG),10:00PM,UTH,"$3,500",-,-,Keon Johnson,POR,SG,Keon Johnson-POR,3500,2023-01-25 16:29:45.372136
-,Luka Garza (MIN - C),8:00PM,@NOR,"$3,600",-,-,Luka Garza,MIN,C,Luka Garza-MIN,3600,2023-01-25 16:29:45.372136
-,Neemias Queta (SAC - C),10:00PM,TOR,"$3,500",-,-,Neemias Queta,SAC,C,Neemias Queta-SAC,3500,2023-01-25 16:29:45.372136
219,Davion Mitchell (SAC - PG),10:00PM,TOR,"$4,000",-,-,Davion Mitchell,SAC,PG,Davion Mitchell-SAC,4000,2023-01-25 16:29:45.372136
-,Joe Wieskamp (TOR - SF),10:00PM,@SAC,"$3,500",-,-,Joe Wieskamp,TOR,SF,Joe Wieskamp-TOR,3500,2023-01-25 16:29:45.372136
232,Corey Kispert (WAS - SF),8:00PM,@HOU,"$4,200","$4,200",0,Corey Kispert,WAS,SF,Corey Kispert-WAS,4200,2023-01-25 16:29:45.372136
-,Dalano Banton (TOR - PG),10:00PM,@SAC,"$3,500",-,-,Dalano Banton,TOR,PG,Dalano Banton-TOR,3500,2023-01-25 16:29:45.372136
54,Scottie Barnes (TOR - PF/SF),10:00PM,@SAC,"$8,400",-,-,Scottie Barnes,TOR,PF/SF,Scottie Barnes-TOR,8400,2023-01-25 16:29:45.372136
-,Greg Brown III (POR - PF),10:00PM,UTH,"$3,500",-,-,Greg Brown,POR,PF,Greg Brown-POR,3500,2023-01-25 16:29:45.372136
161,Isaiah Jackson (IND - PF),7:00PM,@ORL,"$5,100","$5,600",-500,Isaiah Jackson,IND,PF,Isaiah Jackson-IND,5100,2023-01-25 16:29:45.372136
218,Chris Duarte (IND - SF),7:00PM,@ORL,"$3,900","$3,900",0,Chris Duarte,IND,SF,Chris Duarte-IND,3900,2023-01-25 16:29:45.372136
311,Aaron Wiggins (OKC - SG),8:00PM,ATL,"$3,900",-,-,Aaron Wiggins,OKC,SG,Aaron Wiggins-OKC,3900,2023-01-25 16:29:45.372136
236,Jeremiah Robinson-Earl (OKC - C/PF),8:00PM,ATL,"$3,900",-,-,Jeremiah Robinson-Earl,OKC,C/PF,Jeremiah Robinson-Earl-OKC,3900,2023-01-25 16:29:45.372136
292,Tre Mann (OKC - PG),8:00PM,ATL,"$4,000",-,-,Tre Mann,OKC,PG,Tre Mann-OKC,4000,2023-01-25 16:29:45.372136
279,Jalen Johnson (ATL - SF),8:00PM,@OKC,"$4,100",-,-,Jalen Johnson,ATL,SF,Jalen Johnson-ATL,4100,2023-01-25 16:29:45.372136
144,Bones Hyland (DEN - PG),8:00PM,@MIL,"$4,300","$4,300",0,Bones Hyland,DEN,PG,Bones Hyland-DEN,4300,2023-01-25 16:29:45.372136
-,Kessler Edwards (BKN - SF),7:30PM,@PHI,"$3,500",-,-,Kessler Edwards,BKN,SF,Kessler Edwards-BKN,3500,2023-01-25 16:29:45.372136
-,Cam Thomas (BKN - SG),7:30PM,@PHI,"$4,000",-,-,Cam Thomas,BKN,SG,Cam Thomas-BKN,4000,2023-01-25 16:29:45.372136
258,Day'Ron Sharpe (BKN - PF),7:30PM,@PHI,"$3,600",-,-,Day'Ron Sharpe,BKN,PF,Day'Ron Sharpe-BKN,3600,2023-01-25 16:29:45.372136
-,Jaden Springer (PHI - PG),7:30PM,BKN,"$3,600",-,-,Jaden Springer,PHI,PG,Jaden Springer-PHI,3600,2023-01-25 16:29:45.372136
276,Charles Bassey (SAS - C),10:30PM,@LAL,"$3,800",-,-,Charles Bassey,SAS,C,Charles Bassey-SAS,3800,2023-01-25 16:29:45.372136
216,Ziaire Williams (MEM - SF),10:00PM,@GSW,"$4,000",-,-,Ziaire Williams,MEM,SF,Ziaire Williams-MEM,4000,2023-01-25 16:29:45.372136
224,Santi Aldama (MEM - PF),10:00PM,@GSW,"$4,500",-,-,Santi Aldama,MEM,PF,Santi Aldama-MEM,4500,2023-01-25 16:29:45.372136
-,Sandro Mamukelashvili (MIL - PF/C),8:00PM,DEN,"$3,600",-,-,Sandro Mamukelashvili,MIL,PF/C,Sandro Mamukelashvili-MIL,3600,2023-01-25 16:29:45.372136
191,Trey Murphy III (NOR - SF),8:00PM,MIN,"$5,300","$5,300",0,Trey Murphy,NOP,SF,Trey Murphy-NOP,5300,2023-01-25 16:29:45.372136
88,Herbert Jones (NOR - SG/SF),8:00PM,MIN,"$5,300","$5,500",-200,Herbert Jones,NOP,SG/SF,Herbert Jones-NOP,5300,2023-01-25 16:29:45.372136
152,Jalen Suggs (ORL - PG/SG),7:00PM,IND,"$4,700",-,-,Jalen Suggs,ORL,PG/SG,Jalen Suggs-ORL,4700,2023-01-25 16:29:45.372136
64,Franz Wagner (ORL - SF/SG),7:00PM,IND,"$6,900",-,-,Franz Wagner,ORL,SF/SG,Franz Wagner-ORL,6900,2023-01-25 16:29:45.372136
272,Jonathan Kuminga (GSW - SF),10:00PM,MEM,"$4,900",-,-,Jonathan Kuminga,GSW,SF,Jonathan Kuminga-GSW,4900,2023-01-25 16:29:45.372136
82,Josh Giddey (OKC - SG/PG),8:00PM,ATL,"$7,900",-,-,Josh Giddey,OKC,SG/PG,Josh Giddey-OKC,7900,2023-01-25 16:29:45.372136
300,Usman Garuba (HOU - PF),8:00PM,WAS,"$3,800",-,-,Usman Garuba,HOU,PF,Usman Garuba-HOU,3800,2023-01-25 16:29:45.372136
87,Jalen Green (HOU - SG/PG),8:00PM,WAS,"$8,000",-,-,Jalen Green,HOU,SG/PG,Jalen Green-HOU,8000,2023-01-25 16:29:45.372136
42,Alperen Sengun (HOU - C),8:00PM,WAS,"$8,400",-,-,Alperen Sengun,HOU,C,Alperen Sengun-HOU,8400,2023-01-25 16:29:45.372136
-,Isaiah Todd (WAS - PF),8:00PM,@HOU,"$3,500","$3,500",0,Isaiah Todd,WAS,PF,Isaiah Todd-WAS,3500,2023-01-25 16:29:45.372136
174,Austin Reaves (LAL - SF/SG),10:30PM,SAS,"$4,600","$4,600",0,Austin Reaves,LAL,SF/SG,Austin Reaves-LAL,4600,2023-01-25 16:29:45.372136
-,Alex Len (SAC - C/PF),10:00PM,TOR,"$3,500",-,-,Alex Len,SAC,C/PF,Alex Len-SAC,3500,2023-01-25 16:29:45.372136
-,Terry Taylor (IND - SG/SF),7:00PM,@ORL,"$3,600","$3,600",0,Terry Taylor,IND,SG/SF,Terry Taylor-IND,3600,2023-01-25 16:29:45.372136
182,Jose Alvarado (NOR - PG),8:00PM,MIN,"$4,800","$4,800",0,Jose Alvarado,NOP,PG,Jose Alvarado-NOP,4800,2023-01-25 16:29:45.372136
84,Draymond Green (GSW - PF/C),10:00PM,MEM,"$6,800",-,-,Draymond Green,GSW,PF/C,Draymond Green-GSW,6800,2023-01-25 16:29:45.372136
316,Trendon Watford (POR - PF),10:00PM,UTH,"$3,600",-,-,Trendon Watford,POR,PF,Trendon Watford-POR,3600,2023-01-25 16:29:45.372136
100,Harrison Barnes (SAC - SF/PF),10:00PM,TOR,"$6,300",-,-,Harrison Barnes,SAC,SF/PF,Harrison Barnes-SAC,6300,2023-01-25 16:29:45.372136
-,Eugene Omoruyi (OKC - SF),8:00PM,ATL,"$3,700",-,-,Eugene Omoruyi,OKC,SF,Eugene Omoruyi-OKC,3700,2023-01-25 16:29:45.372136
200,Pat Connaughton (MIL - SF/SG),8:00PM,DEN,"$5,000",-,-,Pat Connaughton,MIL,SF/SG,Pat Connaughton-MIL,5000,2023-01-25 16:29:45.372136
-,Jordan Goodwin (WAS - PG),8:00PM,@HOU,"$4,000","$4,000",0,Jordan Goodwin,WAS,PG,Jordan Goodwin-WAS,4000,2023-01-25 16:29:45.372136
-,Khem Birch (TOR - C/PF),10:00PM,@SAC,"$3,500",-,-,Khem Birch,TOR,C/PF,Khem Birch-TOR,3500,2023-01-25 16:29:45.372136
-,Daishen Nix (HOU - PG),8:00PM,WAS,"$3,700",-,-,Daishen Nix,HOU,PG,Daishen Nix-HOU,3700,2023-01-25 16:29:45.372136
-,Jeff Dowtin Jr. (TOR - PG),10:00PM,@SAC,"$3,500",-,-,Jeff Dowtin,TOR,PG,Jeff Dowtin-TOR,3500,2023-01-25 16:29:45.372136
-,Micah Potter (UTH - PF),10:00PM,@POR,"$3,500",-,-,Micah Potter,UTA,PF,Micah Potter-UTA,3500,2023-01-25 16:29:45.372136
-,Dru Smith (BKN - SG),7:30PM,@PHI,"$3,600",-,-,Dru Smith,BKN,SG,Dru Smith-BKN,3600,2023-01-25 16:29:45.372136
-,David Duke Jr. (BKN - SG),7:30PM,@PHI,"$3,500",-,-,David Duke,BKN,SG,David Duke-BKN,3500,2023-01-25 16:29:45.372136
187,Josh Richardson (SAS - SF/SG),10:30PM,@LAL,"$5,900",-,-,Josh Richardson,SAS,SF/SG,Josh Richardson-SAS,5900,2023-01-25 16:29:45.372136
-,Matt Ryan (MIN - SF),8:00PM,@NOR,"$3,500",-,-,Matt Ryan,MIN,SF,Matt Ryan-MIN,3500,2023-01-25 16:29:45.372136
91,Khris Middleton (MIL - SF/SG),8:00PM,DEN,"$6,900",-,-,Khris Middleton,MIL,SF/SG,Khris Middleton-MIL,6900,2023-01-25 16:29:45.372136
199,Joe Harris (BKN - SG/SF),7:30PM,@PHI,"$4,400",-,-,Joe Harris,BKN,SG/SF,Joe Harris-BKN,4400,2023-01-25 16:29:45.372136
240,Terrence Ross (ORL - SG/SF),7:00PM,IND,"$4,100",-,-,Terrence Ross,ORL,SG/SF,Terrence Ross-ORL,4100,2023-01-25 16:29:45.372136
-,Frank Kaminsky III (ATL - PF/C),8:00PM,@OKC,"$3,800",-,-,Frank Kaminsky,ATL,PF/C,Frank Kaminsky-ATL,3800,2023-01-25 16:29:45.372136
-,Lindy Waters III (OKC - SG),8:00PM,ATL,"$3,700",-,-,Lindy Waters,OKC,SG,Lindy Waters-OKC,3700,2023-01-25 16:29:45.372136
267,Justin Holiday (ATL - SF/SG),8:00PM,@OKC,"$3,500",-,-,Justin Holiday,ATL,SF/SG,Justin Holiday-ATL,3500,2023-01-25 16:29:45.372136
-,Johnny Juzang (UTH - SF),10:00PM,@POR,"$3,500",-,-,Johnny Juzang,UTA,SF,Johnny Juzang-UTA,3500,2023-01-25 16:29:45.372136
-,Ron Harper Jr. (TOR - SF),10:00PM,@SAC,"$3,500",-,-,Ron Harper,TOR,SF,Ron Harper-TOR,3500,2023-01-25 16:29:45.372136
-,Scotty Pippen Jr. (LAL - PG),10:30PM,SAS,"$3,500","$3,500",0,Scotty Pippen,LAL,PG,Scotty Pippen-LAL,3500,2023-01-25 16:29:45.372136
-,Trevor Hudgins (HOU - PG),8:00PM,WAS,"$3,500",-,-,Trevor Hudgins,HOU,PG,Trevor Hudgins-HOU,3500,2023-01-25 16:29:45.372136
-,Collin Gillespie (DEN - PG),8:00PM,@MIL,"$3,500","$3,500",0,Collin Gillespie,DEN,PG,Collin Gillespie-DEN,3500,2023-01-25 16:29:45.372136
-,Keon Ellis (SAC - SG),10:00PM,TOR,"$3,500",-,-,Keon Ellis,SAC,SG,Keon Ellis-SAC,3500,2023-01-25 16:29:45.372136
-,Dereon Seabron (NOR - SG),8:00PM,MIN,"$3,500","$3,500",0,Dereon Seabron,NOP,SG,Dereon Seabron-NOP,3500,2023-01-25 16:29:45.372136
-,A.J. Green (MIL - SG),8:00PM,DEN,"$3,800",-,-,A.J. Green,MIL,SG,A.J. Green-MIL,3800,2023-01-25 16:29:45.372136
